Lemma	form	POS	Gloss
þǣr	þǣr	adv	there
þǣr	þǣr	adv	there
þǣr	þǣr	adv	there
þǣr	þǣr	adv	there
þǣr	þǣr	adv	there
þǣr	þǣr	adv	there
þæs	þæs	conj	because
þæt	þæt	conj	that
þæt	þæt	conj	that
þǣt	þǣt	nsn	that
þe	þe	rpn	that
þe	þe	in	who
þe	þe	in	who
þe	þe	in	who
þe	þe	in	who
þe	þe	in	who
þe	þe	in	who
þe	þe	in	who
þe	þe	in	who
þēah	þēah	conj	although
þearf	þearfe	asn	need
þeaw	þeawum	dpn	good custom
þenden	þenden	conj	while
þeod	þeodna	npn	men
þēod	þēode;	asn	band
þeodenstol	þeodenstol	n	king-stool
þeodric	þeodric	nsn	Theodric
þeodric	þeodric,	asn	Theodric
þoncword	þoncword	apn	thank-words
þonne	þonne	conj	when
þonne	Ðonne	conj	then
þonne	þonne	adv	then
þonne	þonne	conj	when
þrāg	þrāge,	asn	time
Þrowend	Þrowendum,	dpn	Þrowend
þrym	þrym.	asn	force
Þyle	Þyle	nsn	Thyle
Þyringas	Þyringum,	dpn	the Thuringians
Þyringas	Þyringum	dpn	the Thuringians
